Product,Category,HA,A,SW,B,c,w,G,mf,NoColor,Available,d,L,Sl,ss,z,od,R,En,Lz,qty,order,demand,price,
ASW BOTTOM RAIL,ALUMINUM,0,42,1,0,0,0,0,0,0,43,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
ASW TOP RAIL,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW LOCKSTILE,ALUMINUM,0,16,3,0,0,0,0,0,0,19,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW ASTRAGAL MINI,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW DOUBLE SILL,ALUMINUM,0,31,0,0,0,0,0,0,0,31,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
ASW DOUBLE HEAD,ALUMINUM,0,24,0,0,0,0,0,0,0,24,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
ASW DOUBLE JAMB,ALUMINUM,0,12,0,0,0,0,0,0,0,12,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW INTERLOCKER,ALUMINUM,0,5,2,0,0,0,0,0,0,7,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW FIXED STILE,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW SCREEN FRAME W/ FIN,ALUMINUM,4,0,0,0,0,0,0,0,0,4,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
ASW SCREEN SILL,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
